DATETIME,RSSI,HOME_ID,SOURCE_ID,ROUTING_NODES,DESTINATION_ID,HEADER_TYPE,PAYLOAD,SEQ_NUM,ROUTE_COUNT,_COUNT,PROPERTIES,
2016-07-15 21:50:34.361,52,EC549ADB,001,,045,Ack,2D 21 ,02,-1,-01,-01,
2016-07-15 21:50:45.125,52,EC549ADB,001,,045,Ack,2D 20 ,03,-1,-01,-01,
2016-07-15 21:50:45.125,51,EC549ADB,001,,045,Ack,2D 27 ,04,-1,-01,-01,
2016-07-15 21:50:45.127,52,EC549ADB,001,,045,Ack,2D 26 ,05,-1,-01,-01,
2016-07-15 21:50:45.127,52,EC549ADB,001,,045,Ack,2D 25 ,06,-1,-01,-01,
2016-07-15 21:50:45.128,49,EC549ADB,022,,001,Singlecast,01 32 02 21 64 00 00 1F 59 00 3C 00 00 1F 59 04 ,05,-1,-01,-01,
2016-07-15 21:50:46.550,52,EC549ADB,001,,022,Ack,16 1D ,05,-1,-01,-01,
2016-07-15 21:50:46.550,52,EC549ADB,001,25,009,Routed Singlecast,19 26 02 A1 ,12,01,000,000,
2016-07-15 21:50:49.468,51,EC549ADB,009,25,001,Routed Singlecast,19 84 ,12,01,000,003,
2016-07-15 21:50:49.468,52,EC549ADB,001,,025,Ack,19 1B ,12,-1,-01,-01,
2016-07-15 21:50:49.469,51,EC549ADB,009,25,001,Routed Singlecast,19 26 03 63 D1 ,01,01,000,000,
2016-07-15 21:50:49.469,52,EC549ADB,001,25,009,Routed Singlecast,19 89 ,01,01,000,003,
2016-07-15 21:50:49.470,51,EC549ADB,009,,025,Ack,19 1E ,01,-1,-01,-01,
2016-07-15 21:50:49.470,52,EC549ADB,009,,025,Ack,19 1E ,01,-1,-01,-01,
2016-07-15 21:50:49.471,51,EC549ADB,009,,025,Ack,19 1E ,01,-1,-01,-01,
2016-07-15 21:50:49.471,54,EC549ADB,031,21,001,Routed Singlecast,15 32 02 21 64 00 01 19 49 00 3C 00 01 19 49 C3 ,13,01,000,000,
2016-07-15 21:50:54.402,55,EC549ADB,031,21,001,Routed Singlecast,15 32 02 21 64 00 01 19 49 00 3C 00 01 19 49 C2 ,13,01,001,000,
2016-07-15 21:50:54.403,53,EC549ADB,001,21,031,Routed Singlecast,15 9F ,13,01,000,003,
2016-07-15 21:50:54.403,56,EC549ADB,001,21,031,Routed Singlecast,15 D0 ,13,01,015,003,
2016-07-15 21:50:54.404,54,EC549ADB,031,,021,Ack,15 08 ,13,-1,-01,-01,
